blockNumber,transactionHash,timestamp,caller,liquidator,gasUsed,borrower,basePaidOut,basePaidOutUsdValue,collateralAbsorbedAssets,collateralAbsorbedAmounts,collateralAbsorbedUsdValues,buyCollateralBuyers,buyCollateralAssets,buyCollateralBaseAmounts,buyCollateralCollateralAmounts
23743045,0x4500bf77b67c6a3ee700a672887594d64206d83906da20d1d6a4c62f2e79330a,2025-11-06T21:52:59.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,623620,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,45913646,2186127733240624546080
23743068,0xd0f51f1641e036c25f484c9edf971879019100297030ea248e578d4f15ce0a10,2025-11-06T21:57:35.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1574151,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,49953069,2677911172806552834263
23743151,0x1283612415f6ba4fc1034dd07b45be16b2f65b79669e6c2268ff72da0e151045,2025-11-06T22:14:11.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,543015,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,30792136,1757605786533192581888
23743186,0xccd5a73e1a46c01f482220de73c7310f269d67f4b91c2bbfef605e43c7d1d752,2025-11-06T22:21:11.000Z,0x07De4e70Ff80bc47546ef7c5D081a4a1FF8bD98E,,813026,,0,0,,,,0xbD32122bAD41A09f2405Bb374A83877d8245079C,0x15700B564Ca08D9439C58cA5053166E8317aa138,38381414,3536193655333967962003
23743194,0x5cc6445177aa54ccc146343346e1dd5bbd63d6bada77d8ada1c382c4d6845537,2025-11-06T22:22:47.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1028794,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,25498209,2365000393726383718136
23743212,0x178293e6914542eacd3e71462143bdd46496c61cf4ef2d2c17fea5be6c18f053,2025-11-06T22:26:23.000Z,0x7b26efB006249371B88BbBa20dDbB47e51D76645,,810940,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,33940350,3187880424995819374428
23743254,0xb81d3e4ccb3f1dcf6735411ba417e5d86aa86a4b9bb6d9ed541f39ea7e977e32,2025-11-06T22:34:47.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,924490,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,24800530,2360527366936911892947
23743256,0x3d5e6bf5893a9a95f5296c7274431a0b05cd78f6289f9040641f694a57f1b2b8,2025-11-06T22:35:11.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,529581,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,36045751,3430853360685983678660
23743263,0x6fe8bdaf74aa4c866a9d80b292dba0290817e8f0f44345ad1ef85a7963ae7d3a,2025-11-06T22:36:35.000Z,0x1b9FcB24c533839dC847235bd8Eb80E37EC42f85,,821062,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,36697340,3615112099802342332045
23743263,0x0f3898e2ea2329d91d0999c902ca71a17ef40694602668c599c398e9b474eb0f,2025-11-06T22:36:35.000Z,0x9c4Ebb54625b1E93E987E287fa832BD2e0a854b7,,821060,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,36894703,3634554636219240387590
